Change Component Comment : Designator=BZ1 Old Comment=YZ5020CS-03L-4.0-12-R New Comment=MLT-5020
Change component parameters: Designator = "BZ1" ("BZ1"); Footprint = "BUZZER-SMD-5*5mm"; UniqueID = "\QMDNULFX" ("\QMDNULFX")
Change component parameters (AddParameter): Name = "Value"; Value = "MLT-5020"; VariantName = "[No Variations]"
Change component parameters: Designator = "D1" ("D1"); Footprint = "LED0603--0.4mm"; UniqueID = "\XVPPSNCP" ("\XVPPSNCP")
Change component parameters (AddParameter): Name = "Bottom"; Value = "20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cost"; Value = "0.48"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FPLIST"; Value = "mot/0805LED,dig/0805led"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Citizen"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer's Part Number"; Value = "CL-170G-CD-T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Old Part Number"; Value = "4317000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "41100017000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB_dir"; Value = "90.000000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB_x"; Value = "46.095000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB_y"; Value = "6.420000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Right"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Green_LED/NC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE_ALLEGRO"; Value = "Red_LED"; VariantName = "[No Variations]"
Change component parameters: Designator = "D2" ("D2"); Footprint = "LED0603--0.4mm"; UniqueID = "\UTDMOGGU" ("\UTDMOGGU")
Change component parameters (AddParameter): Name = "Bottom"; Value = "20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cost"; Value = "0.48"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FPLIST"; Value = "mot/0805LED,dig/0805led"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Citizen"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer's Part Number"; Value = "CL-170G-CD-T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Old Part Number"; Value = "4317000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Height"; Value = "1.1mm"; VariantName = "[No Variations]"
