Change Physical Footprint: Designator=BZ1 Old Footprint=BUZZER-SMD-5*5mm New Footprint=BUZZER-SMD-5*5mm
Change Physical Footprint: Designator=C1 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C2 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C3 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C4 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C5 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C6 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C7 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C8 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C9 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C10 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C11 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C12 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C13 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C14 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C15 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C16 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C17 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C18 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C19 Old Footprint=0402C New Footprint=0402C
Change Physical Footprint: Designator=C20 Old Footprint=0402C New Footprint=0402C
